#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 01 19 00 999 99.0 99.0  0.54 10.53  3.16 300 9999.0 999.0   7.9 999.0 99.0 99.00
2020 04 01 19 30 999 99.0 99.0  0.46 10.00  3.08 291 9999.0 999.0   7.8 999.0 99.0 99.00
2020 04 01 20 00 999 99.0 99.0  0.39 10.53  3.18 306 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 01 20 30 999 99.0 99.0  0.34 11.11  2.99 301 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 01 21 00 999 99.0 99.0  0.33 11.11  3.91 294 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 01 21 30 999 99.0 99.0  0.31 10.00  4.36 308 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 01 22 00 999 99.0 99.0  0.34 10.53  4.97 307 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 01 22 30 999 99.0 99.0  0.30  9.52  5.56 287 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 01 23 00 999 99.0 99.0  0.32 10.53  5.82 285 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 01 23 30 999 99.0 99.0  0.43 10.00  7.57 281 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 02 00 00 999 99.0 99.0  0.51  9.09  7.51 280 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 02 00 30 999 99.0 99.0  0.67  8.70  7.69 286 9999.0 999.0   8.1 999.0 99.0 99.00
2020 04 02 01 00 999 99.0 99.0  0.49  9.09  6.73 294 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 01 30 999 99.0 99.0  0.42  8.70  6.49 291 9999.0 999.0   8.0 999.0 99.0 99.00
2020 04 02 02 00 999 99.0 99.0  0.42  8.33  6.75 287 9999.0 999.0   8.0 999.0 99.0 99.00
