#YY  MM DD hh WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2004 07 09 00 268  2.4  3.0  0.69  5.56  4.15 278 1015.8  12.0  11.4  11.4 99.0 99.00
2004 07 09 01 269  2.2  2.9  1.57  8.33  6.42 278 1015.0  11.6  11.3  11.1 99.0 99.00
2004 07 09 02 295  1.7  2.2  1.43 13.79  6.40 252 1014.4  11.6  11.8  11.1 99.0 99.00
2004 07 09 03 261  4.9  5.7  1.52  8.33  6.47 288 1014.1  11.9  11.8  11.3 99.0 99.00
2004 07 09 04 286  4.2  4.9  1.31  8.33  6.42 283 1013.9  11.9  11.5  11.3 99.0 99.00
2004 07 09 05 278  4.0  4.7  1.45  8.33  6.88 278 1013.8  11.9  11.6  11.3 99.0 99.00
2004 07 09 06 283  4.9  5.9  1.35  8.33  7.13 276 1013.6  12.0  11.6  10.9 99.0 99.00
2004 07 09 07 292  4.6  5.4  1.27 13.79  6.76 264 1013.3  12.0  11.6  10.8 99.0 99.00
2004 07 09 08 277  3.7  4.7  1.28  8.33  7.19 280 1013.1  11.8  11.5  10.9 99.0 99.00
2004 07 09 09 255  2.0  2.5  1.18  8.33  7.20 280 1012.9  11.4  11.1  10.8 99.0 99.00
2004 07 09 10 233  2.9  4.0  1.42  8.33  7.35 276 1012.8  11.3  11.1  10.7 99.0 99.00
2004 07 09 11 250  1.7  2.3  1.24  8.33  7.19 280 1012.7  11.3  11.1  10.6 99.0 99.00
2004 07 09 12 298  1.5  2.0  1.24  7.69  6.97 287 1012.7  11.1  11.1  10.4 99.0 99.00
2004 07 09 13  88  1.8  2.5  1.17  7.69  6.89 285 1012.8  11.1  10.9  10.4 99.0 99.00
2004 07 09 14 162  0.4  0.7  1.20 13.79  6.61 266 1012.9  11.0  11.0  10.4 99.0 99.00
2004 07 09 15 204  1.7  2.4  1.09 14.81  6.58 261 1013.1  11.1  11.0  10.5 99.0 99.00
2004 07 09 16 180  1.0  1.6  1.09  7.14  6.19 287 1013.3  11.1  11.0  10.5 99.0 99.00
2004 07 09 17 190  0.9  1.3  1.04 13.79  6.32 262 1013.6  10.8  11.1  10.3 99.0 99.00
2004 07 09 18 261  2.5  3.1  1.01 13.79  6.44 254 1013.9  10.9 999.0  10.5 99.0 99.00
