#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2020 04 01 15 50 354  1.3  1.9  1.87 10.00  7.95 286 1017.9   6.2   8.7   6.0 99.0 99.00
2020 04 01 16 20  49  1.2  2.3  2.06 10.00  8.15 276 1018.1   6.3   8.8   5.5 99.0 99.00
2020 04 01 16 50  78  2.2  3.3  2.02 10.00  8.14 283 1018.3   6.5   8.9   4.3 99.0 99.00
2020 04 01 17 20  82  2.3  3.4  2.03 10.81  8.14 287 1018.5   6.7   9.0   4.2 99.0 99.00
2020 04 01 17 50 103  3.0  4.7  1.99 10.81  8.15 274 1018.7   6.9   9.0   4.3 99.0 99.00
2020 04 01 18 20  94  2.5  3.9  2.07 10.81  8.23 283 1019.0   6.8   9.0   4.0 99.0 99.00
2020 04 01 18 50  83  0.2  0.9  1.88 10.00  8.18 269 1019.1   7.5   9.1   3.8 99.0 99.00
2020 04 01 19 20 197  0.1  0.5  1.72 10.00  7.91 290 1019.2   7.6   9.1   4.6 99.0 99.00
2020 04 01 19 50 202  0.6  1.4  2.10 10.00  8.48 274 1019.1   7.5   9.2   4.5 99.0 99.00
2020 04 01 20 20 133  2.1  3.5  1.71  9.09  7.65 284 1019.0   7.4   9.4   2.6 99.0 99.00
2020 04 01 20 50 125  2.7  4.2  1.81 10.81  7.95 287 1019.1   7.3   9.4   3.0 99.0 99.00
2020 04 01 21 20 100  1.9  3.2  1.95 10.00  7.69 292 1019.2   7.2   9.5   3.6 99.0 99.00
2020 04 01 21 50 114  1.3  2.3  1.77 10.00  7.68 286 1019.4   7.3   9.7   2.5 99.0 99.00
2020 04 01 22 20  61  0.3  1.0  1.84  9.09  7.66 282 1019.4   7.4  10.0   1.8 99.0 99.00
2020 04 01 22 50  71  0.5  1.6  1.87 10.00  7.72 280 1019.5   7.4  10.0   1.0 99.0 99.00
2020 04 01 23 20  82  1.4  2.4  1.87 10.81  7.76 288 1019.6   7.4  10.1   0.6 99.0 99.00
2020 04 01 23 50  85  1.4  2.5  1.76 10.81  7.45 291 1019.5   7.4  10.3   0.0 99.0 99.00
2020 04 02 00 20 121  1.1  3.1  1.82  9.09  7.46 283 1019.5   7.4  10.4   3.1 99.0 99.00
2020 04 02 00 50 146  0.8  1.8  1.67  8.33  7.25 283 1019.5   7.3  10.2   3.0 99.0 99.00
2020 04 02 01 20 143  1.3  2.0  1.65  8.33  6.95 279 1019.4   7.2  10.3  -1.0 99.0 99.00
2020 04 02 01 50 144  1.1  1.9  1.72 10.00  7.24 282 1019.4   7.3  10.0 999.0 99.0 99.00
2020 04 02 02 20 106  0.8  1.6  1.62 10.00  7.06 294 1019.4   7.3   9.8   3.0 99.0 99.00
2020 04 02 02 50 150  1.0  1.8  1.72  9.09  6.86 287 1019.3   7.5   9.7   4.7 99.0 99.00
2020 04 02 03 20 233  1.0  3.8  1.58  9.09  6.87 293 1019.4   7.5   9.7   4.8 99.0 99.00
2020 04 02 03 50 299  5.2  6.5  1.59  9.09  6.59 293 1019.4   7.5   9.6   4.9 99.0 99.00
2020 04 02 04 20 292  4.7  5.7  1.64  8.33  6.92 297 1019.8   7.3   9.5   3.9 99.0 99.00
2020 04 02 04 50 293  5.0  6.0  1.61  9.09  6.71 296 1019.7   7.1   9.4   4.2 99.0 99.00
2020 04 02 05 20 289  5.2  6.6  1.55  8.33  6.21 286 1019.7   7.0   9.5   4.3 99.0 99.00
2020 04 02 05 50 288  6.1  7.1  1.54  9.09  6.04 286 1019.7   6.9   9.4   4.5 99.0 99.00
2020 04 02 06 20 283  6.4  7.9  1.47  9.09  6.13 280 1019.8   6.7   9.5   4.0 99.0 99.00
2020 04 02 06 50 290  5.5  6.5  1.58  8.33  6.23 286 1020.0   6.6   9.5   3.7 99.0 99.00
2020 04 02 07 20 283  5.1  6.6  1.58  8.33  6.16 289 1020.1   6.5   9.4   1.8 99.0 99.00
2020 04 02 07 50 272  4.8  6.0  1.50  7.69  6.22 289 1020.2   6.5   9.3 999.0 99.0 99.00
2020 04 02 08 20 282  4.9  6.0  1.63  8.33  6.46 294 1020.4   6.4   9.3 999.0 99.0 99.00
2020 04 02 08 50 277  3.6  5.0  1.77  8.33  6.74 289 1020.6   6.4   9.3 999.0 99.0 99.00
2020 04 02 09 20 283  3.2  4.5  1.72  8.33  6.54 286 1020.7   6.4   9.2 999.0 99.0 99.00
2020 04 02 09 50 260  3.6  5.1  1.71  9.09  6.83 288 1020.6   6.4   9.1 999.0 99.0 99.00
2020 04 02 10 20 283  3.5  4.5  1.77  7.14  6.65 286 1020.6   6.2   9.1 999.0 99.0 99.00
2020 04 02 10 50 256  1.2  2.6  1.55  7.69  6.57 284 1020.6   6.2   9.1 999.0 99.0 99.00
2020 04 02 11 20 236  2.1  3.4  1.71  8.33  6.90 287 1020.6   6.3   9.1 999.0 99.0 99.00
2020 04 02 11 50 255  2.2  3.6  1.71  8.33  6.98 287 1020.6   6.2   9.1 999.0 99.0 99.00
2020 04 02 12 20 251  2.2  3.2  1.63  7.69  7.15 293 1020.4   6.3   9.1 999.0 99.0 99.00
2020 04 02 12 50 219  2.9  4.3  1.57  7.69  6.94 293 1020.5   6.5   9.1 999.0 99.0 99.00
2020 04 02 13 20 219  3.8  5.2  1.46  8.33  6.90 289 1020.4   6.2   9.1 999.0 99.0 99.00
2020 04 02 13 50 284  4.1  5.1  1.65  8.33  6.86 296 1020.5   6.0   9.1 999.0 99.0 99.00
2020 04 02 14 20 277  5.3  6.2  1.49  7.69  6.46 300 1020.6   5.7   9.1 999.0 99.0 99.00
2020 04 02 14 50 268  3.4  4.9  1.38  7.69  6.45 297 1020.8   5.7   9.1 999.0 99.0 99.00
2020 04 02 15 20 252  3.4  4.8  1.44  7.69  6.41 300 1020.8   5.9   9.1 999.0 99.0 99.00
2020 04 02 15 50 228  4.7  6.1  1.46  8.33  6.41 295 1020.8   5.8   9.0 999.0 99.0 99.00
2020 04 02 16 20 251  5.7  6.7  1.31  7.69  5.99 292 1020.9   5.6   9.0 999.0 99.0 99.00
2020 04 02 16 50 242  3.9  4.9  1.38  7.14  5.93 295 1021.2   5.8   9.0 999.0 99.0 99.00
2020 04 02 17 20 249  2.8  4.3  1.33  8.33  5.91 288 1021.4   5.7   9.1 999.0 99.0 99.00
2020 04 02 17 50 299  4.0  4.9  1.36  8.33  6.13 298 1021.6   5.3   9.1 999.0 99.0 99.00
2020 04 02 18 20 296  2.7  4.1  1.30  7.69  6.15 295 1021.7   5.4   9.1 999.0 99.0 99.00
2020 04 02 18 50 269  2.7  3.8  1.19  8.33  6.27 295 1021.7   5.4   9.1 999.0 99.0 99.00
2020 04 02 19 20 216  2.6  4.2  1.37  7.69  6.49 289 1021.8   5.6   9.2 999.0 99.0 99.00
2020 04 02 19 50 260  1.6  3.3  1.31  8.33  6.62 275 1022.0   5.8   9.2 999.0 99.0 99.00
2020 04 02 20 20 275  1.6  2.7  1.25  7.69  6.55 291 1021.9   5.8   9.3 999.0 99.0 99.00
2020 04 02 20 50 257  2.8  4.7  1.21  7.69  6.49 289 1021.9   5.9   9.5 999.0 99.0 99.00
2020 04 02 21 20 227  4.2  5.5  1.24  9.09  6.68 286 1022.1   5.6   9.5 999.0 99.0 99.00
2020 04 02 21 50 226  5.1  6.7  1.19  7.14  6.66 280 1022.1   5.7   9.4 999.0 99.0 99.00
2020 04 02 22 20 213  3.4  4.8  1.24  8.33  6.56 285 1022.0   5.6   9.4 999.0 99.0 99.00
2020 04 02 22 50 208  2.9  4.1  1.23  8.33  6.63 286 1022.0   5.9   9.5 999.0 99.0 99.00
2020 04 02 23 20 205  3.8  5.1  1.16  8.33  6.61 279 1021.9   5.9   9.5 999.0 99.0 99.00
